barcode,name,description,price,costPrice,stock,categoryId,image
8991102100014,Shampoo Anti-Dandruff 200ml,Anti-dandruff shampoo for healthy hair,25000.0,18000.0,50,1,
8991102100021,Bath Soap 90g,Moisturizing bath soap,5000.0,3500.0,100,1,
8991102100038,Toothpaste Fresh Mint 150g,Fresh mint toothpaste with fluoride,12000.0,8500.0,75,1,
8992761111014,Premium Rice 5kg,Premium quality white rice,65000.0,52000.0,30,2,
8992761111021,Instant Noodles Chicken Flavor,Delicious instant noodles,3000.0,2200.0,200,2,
8992761111038,Cooking Oil 2L,Pure cooking oil,32000.0,26000.0,40,2,
8993675100014,Mineral Water 600ml,Pure mineral water,3500.0,2500.0,150,3,
8993675100021,Soft Drink Cola 330ml,Refreshing cola drink,6000.0,4200.0,100,3,
8993675100038,Instant Coffee 3-in-1,Coffee with sugar and creamer,2000.0,1400.0,180,3,
8994567100014,Laundry Detergent 1kg,Powerful cleaning detergent,18000.0,13500.0,60,4,
8994567100021,Dishwashing Liquid 800ml,Effective dishwashing liquid,12000.0,9000.0,70,4,
8995432100014,Potato Chips BBQ 60g,Crispy BBQ flavored chips,8000.0,5600.0,120,5,
8995432100021,Chocolate Cookies 150g,Delicious chocolate cookies,15000.0,11000.0,80,5,
8995432100038,Candy Mix 100g,Assorted fruit candies,5000.0,3500.0,150,5,
8996321100014,AA Batteries 4-Pack,Alkaline AA batteries,20000.0,15000.0,50,6,
8996321100021,USB Phone Charger Cable,Universal USB charging cable,35000.0,25000.0,40,6,
8997654100014,Ballpoint Pen Blue,Smooth writing ballpoint pen,3000.0,2000.0,200,7,
8997654100021,Notebook A5 80 Pages,Quality ruled notebook,12000.0,8500.0,100,7,
8997654100038,Pencil HB 12-Pack,Standard HB pencils,15000.0,11000.0,60,7,
